,Market ID,Market Name,Contract ID,Contract Name,Date (ET),Open Share Price,Close Share Price,Low Share Price,High Share Price,Average Trade Price,Trade Volume
3101,3698,Who will win the 2020 U.S. presidential election?,7943,Donald Trump,2017-09-27,0.52,0.3,0.27,0.52,0.2982,5390
3102,3698,Who will win the 2020 U.S. presidential election?,7943,Donald Trump,2017-09-28,0.3,0.33,0.29,0.36,0.3072,5781
3103,3698,Who will win the 2020 U.S. presidential election?,7943,Donald Trump,2017-09-29,0.33,0.33,0.32,0.35,0.3346,2315
3104,3698,Who will win the 2020 U.S. presidential election?,7943,Donald Trump,2017-09-30,0.33,0.31,0.31,0.33,0.3182,622
3105,3698,Who will win the 2020 U.S. presidential election?,7943,Donald Trump,2017-10-01,0.31,0.31,0.31,0.34,0.3249,3172
3106,3698,Who will win the 2020 U.S. presidential election?,7943,Donald Trump,2017-10-02,0.31,0.32,0.31,0.33,0.3163,601
3107,3698,Who will win the 2020 U.S. presidential election?,7943,Donald Trump,2017-10-03,0.32,0.32,0.31,0.33,0.3148,1581
3108,3698,Who will win the 2020 U.S. presidential election?,7943,Donald Trump,2017-10-04,0.32,0.31,0.31,0.33,0.3194,1905
3109,3698,Who will win the 2020 U.S. presidential election?,7943,Donald Trump,2017-10-05,0.31,0.32,0.3,0.33,0.3244,2191
3110,3698,Who will win the 2020 U.S. presidential election?,7943,Donald Trump,2017-10-06,0.32,0.33,0.32,0.34,0.3375,3370
3111,3698,Who will win the 2020 U.S. presidential election?,7943,Donald Trump,2017-10-07,0.33,0.35,0.33,0.35,0.3384,191
3112,3698,Who will win the 2020 U.S. presidential election?,7943,Donald Trump,2017-10-08,0.35,0.34,0.33,0.35,0.3481,322
3113,3698,Who will win the 2020 U.S. presidential election?,7943,Donald Trump,2017-10-09,0.34,0.34,0.33,0.35,0.3343,695
3114,3698,Who will win the 2020 U.S. presidential election?,7943,Donald Trump,2017-10-10,0.34,0.34,0.33,0.35,0.3388,1624
3115,3698,Who will win the 2020 U.S. presidential election?,7943,Donald Trump,2017-10-11,0.34,0.34,0.33,0.34,0.3309,2745
3116,3698,Who will win the 2020 U.S. presidential election?,7943,Donald Trump,2017-10-12,0.34,0.35,0.32,0.35,0.3392,3584
3117,3698,Who will win the 2020 U.S. presidential election?,7943,Donald Trump,2017-10-13,0.35,0.33,0.33,0.35,0.3321,94
3118,3698,Who will win the 2020 U.S. presidential election?,7943,Donald Trump,2017-10-14,0.33,0.35,0.33,0.35,0.3451,442
3119,3698,Who will win the 2020 U.S. presidential election?,7943,Donald Trump,2017-10-15,0.35,0.34,0.33,0.35,0.3382,1071
3120,3698,Who will win the 2020 U.S. presidential election?,7943,Donald Trump,2017-10-16,0.34,0.34,0.33,0.34,0.3326,1807
3121,3698,Who will win the 2020 U.S. presidential election?,7943,Donald Trump,2017-10-17,0.34,0.34,0.33,0.34,0.3394,532
3122,3698,Who will win the 2020 U.S. presidential election?,7943,Donald Trump,2017-10-18,0.34,0.35,0.33,0.35,0.3495,2235
3123,3698,Who will win the 2020 U.S. presidential election?,7943,Donald Trump,2017-10-19,0.35,0.35,0.34,0.35,0.3409,1104
3124,3698,Who will win the 2020 U.S. presidential election?,7943,Donald Trump,2017-10-20,0.35,0.35,0.34,0.35,0.3447,601
3125,3698,Who will win the 2020 U.S. presidential election?,7943,Donald Trump,2017-10-21,0.35,0.35,0.34,0.35,0.3493,268
3126,3698,Who will win the 2020 U.S. presidential election?,7943,Donald Trump,2017-10-22,0.35,0.35,0.34,0.35,0.3475,1383
3127,3698,Who will win the 2020 U.S. presidential election?,7943,Donald Trump,2017-10-23,0.35,0.35,0.34,0.35,0.3483,586
3128,3698,Who will win the 2020 U.S. presidential election?,7943,Donald Trump,2017-10-24,0.35,0.35,0.34,0.36,0.357,2757
3129,3698,Who will win the 2020 U.S. presidential election?,7943,Donald Trump,2017-10-25,0.35,0.36,0.35,0.36,0.3517,1749
3130,3698,Who will win the 2020 U.S. presidential election?,7943,Donald Trump,2017-10-26,0.36,0.36,0.35,0.36,0.3563,303
3131,3698,Who will win the 2020 U.S. presidential election?,7943,Donald Trump,2017-10-27,0.36,0.35,0.34,0.36,0.3493,2322
3132,3698,Who will win the 2020 U.S. presidential election?,7943,Donald Trump,2017-10-28,0.35,0.34,0.34,0.35,0.3497,1081
3133,3698,Who will win the 2020 U.S. presidential election?,7943,Donald Trump,2017-10-29,0.34,0.34,0.34,0.36,0.3451,661
3134,3698,Who will win the 2020 U.S. presidential election?,7943,Donald Trump,2017-10-30,0.34,0.34,0.34,0.36,0.3419,1503
3135,3698,Who will win the 2020 U.S. presidential election?,7943,Donald Trump,2017-10-31,0.34,0.34,0.33,0.36,0.345,3012
3136,3698,Who will win the 2020 U.S. presidential election?,7943,Donald Trump,2017-11-01,0.34,0.34,0.33,0.35,0.3348,465
3137,3698,Who will win the 2020 U.S. presidential election?,7943,Donald Trump,2017-11-02,0.34,0.34,0.33,0.34,0.3379,617
3138,3698,Who will win the 2020 U.S. presidential election?,7943,Donald Trump,2017-11-03,0.34,0.35,0.33,0.35,0.338,1533
3139,3698,Who will win the 2020 U.S. presidential election?,7943,Donald Trump,2017-11-04,0.35,0.34,0.32,0.35,0.3321,2198
3140,3698,Who will win the 2020 U.S. presidential election?,7943,Donald Trump,2017-11-05,0.34,0.33,0.32,0.34,0.3328,687
3141,3698,Who will win the 2020 U.S. presidential election?,7943,Donald Trump,2017-11-06,0.35,0.34,0.33,0.35,0.3362,928
